Unnamed: 0,2021-06-14 20:11:51.400090,2021-06-15 12:24:28.087918,2021-06-17 17:00:21.483857,2021-06-17 17:05:02.156113,2021-06-18 13:05:02.816042,2021-06-19 09:06:51.224857,2021-06-20 09:05:02.266565,2021-06-21 09:07:14.384251,2021-06-22 09:05:02.576620
0,"1, Джарахов, Markul, Я в моменте","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам"
1,"2, HammAli & Navai, Птичка","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, HammAli & Navai, Птичка","2, HammAli & Navai, Птичка","2, HammAli & Navai, Птичка"
2,"3, Mekhman, Копия пиратская","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, Джарахов, Markul, Я в моменте","3, Джарахов, Markul, Я в моменте","3, Джарахов, Markul, Я в моменте"
3,"4, Элджей, Candy Flip","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, 10AGE, Пушка"
4,"5, Баста, Ты была права","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, 10AGE, Пушка","5, Mekhman, Копия пиратская"
5,"6, Miyagi & Andy Panda feat. TumaniYO, Оттепель","6, Баста, Ты была права","6, Баста, Ты была права","6, Баста, Ты была права","6, Баста, Ты была права","6, Minelli, Rampampam","6, Minelli, Rampampam","6, Minelli, Rampampam","6, Minelli, Rampampam"
6,"7, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Minelli, Rampampam","7, Баста, Ты была права","7, 10AGE, Пушка","7, Элджей, Candy Flip","7, Элджей, Candy Flip"
7,"8, DEAD BLONDE, Мальчик на девятке","8, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","8, Måneskin, Beggin'","8, Måneskin, Beggin'","8, Måneskin, Beggin'","8, Måneskin, Beggin'","8, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","8, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","8, MORGENSHTERN, ARISTOCRAT"
8,"9, 10AGE, Нету интереса","9, DEAD BLONDE, Мальчик на девятке","9, Minelli, Rampampam","9, Minelli, Rampampam","9, Miyagi & Andy Panda feat. TumaniYO, Оттепель","9, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","9, Måneskin, Beggin'","9, MORGENSHTERN, ARISTOCRAT","9, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара"
9,"10, Miyagi & Andy Panda, Патрон","10, 10AGE, Нету интереса","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, Miyagi & Andy Panda feat. TumaniYO, Оттепель","10, Баста, Ты была права","10, Måneskin, Beggin'","10, Måneskin, Beggin'"
10,"11, Ollane feat. Miyagi & Andy Panda, Where Are You","11, Måneskin, Beggin'","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым","11, MORGENSHTERN, ARISTOCRAT","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым"
11,"12, MORGENSHTERN, ДУЛО","12, Miyagi & Andy Panda, Патрон","12, 10AGE, Нету интереса","12, 10AGE, Нету интереса","12, 10AGE, Нету интереса","12, MORGENSHTERN, ARISTOCRAT","12, Goro, Дорогу молодым","12, Баста, Ты была права","12, Баста, Ты была права"
12,"13, Måneskin, Beggin'","13, Minelli, Rampampam","13, Miyagi & Andy Panda, Патрон","13, Miyagi & Andy Panda, Патрон","13, MORGENSHTERN, ARISTOCRAT","13, 10AGE, Пушка","13, Miyagi & Andy Panda feat. TumaniYO, Оттепель","13, Miyagi & Andy Panda feat. TumaniYO, Оттепель","13, Miyagi & Andy Panda feat. TumaniYO, Оттепель"
13,"14, Ramil', Сон","14, The Limba, Скриптонит, Ронин","14, DEAD BLONDE, Мальчик на девятке","14, DEAD BLONDE, Мальчик на девятке","14, Miyagi & Andy Panda, Патрон","14, 10AGE, Нету интереса","14, 10AGE, Нету интереса","14, 10AGE, Нету интереса","14, 10AGE, Нету интереса"
14,"15, The Limba, Скриптонит, Ронин","15, Ollane feat. Miyagi & Andy Panda, Where Are You","15, The Limba, Скриптонит, Ронин","15, The Limba, Скриптонит, Ронин","15, DEAD BLONDE, Мальчик на девятке","15, Miyagi & Andy Panda, Патрон","15, DEAD BLONDE, Мальчик на девятке","15, Miyagi & Andy Panda, Патрон","15, Jah Khalib, Следуй за мной"
15,"16, Minelli, Rampampam","16, MORGENSHTERN, ДУЛО","16, Ollane feat. Miyagi & Andy Panda, Where Are You","16, Ollane feat. Miyagi & Andy Panda, Where Are You","16, The Limba, Скриптонит, Ронин","16, DEAD BLONDE, Мальчик на девятке","16, Miyagi & Andy Panda, Патрон","16, DEAD BLONDE, Мальчик на девятке","16, Miyagi & Andy Panda, Патрон"
16,"17, Султан Лагучев, Горький вкус","17, Goro, Дорогу молодым","17, Ramil', Сон","17, Ramil', Сон","17, Ollane feat. Miyagi & Andy Panda, Where Are You","17, Ramil', Сон","17, Султан Лагучев, Горький вкус","17, Султан Лагучев, Горький вкус","17, DEAD BLONDE, Мальчик на девятке"
17,"18, Goro, Дорогу молодым","18, Ramil', Сон","18, MORGENSHTERN, ДУЛО","18, MORGENSHTERN, ДУЛО","18, Ramil', Сон","18, MORGENSHTERN, ДУЛО","18, Ramil', Сон","18, Ramil', Сон","18, Ramil', Сон"
18,"19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, ДУЛО","19, Ollane feat. Miyagi & Andy Panda, Where Are You","19, MORGENSHTERN, ДУЛО","19, Jah Khalib, Следуй за мной","19, Тима Белорусских, Под Звездопадом"
19,"20, DEAD BLONDE, Бесприданница","20, Султан Лагучев, Горький вкус","20, MORGENSHTERN, ARISTOCRAT","20, MORGENSHTERN, ARISTOCRAT","20, MORGENSHTERN, SHOW","20, Султан Лагучев, Горький вкус","20, Jah Khalib, Следуй за мной","20, MORGENSHTERN, ДУЛО","20, MORGENSHTERN, ДУЛО"
20,"21, Леша Свик, Сиреневый закат","21, DEAD BLONDE, Бесприданница","21, DEAD BLONDE, Бесприданница","21, DEAD BLONDE, Бесприданница","21, Султан Лагучев, Горький вкус","21, MORGENSHTERN, SHOW","21, Ollane feat. Miyagi & Andy Panda, Where Are You","21, Ollane feat. Miyagi & Andy Panda, Where Are You","21, Ollane feat. Miyagi & Andy Panda, Where Are You"
21,"22, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","22, Леша Свик, Сиреневый закат","22, Султан Лагучев, Горький вкус","22, Султан Лагучев, Горький вкус","22, DEAD BLONDE, Бесприданница","22, Jah Khalib, Следуй за мной","22, MORGENSHTERN, SHOW","22, Тима Белорусских, Под Звездопадом","22, Просто Вопрос, Я даю тебе любовь"
22,"23, Dabro, На часах ноль-ноль","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, DEAD BLONDE, Бесприданница","23, DEAD BLONDE, Бесприданница","23, MORGENSHTERN, SHOW","23, Султан Лагучев, Горький вкус"
23,"24, Просто Вопрос, Я даю тебе любовь","24, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","24, Леша Свик, Сиреневый закат","24, Леша Свик, Сиреневый закат","24, Леша Свик, Сиреневый закат","24, The Limba, Скриптонит, Ронин","24, Тима Белорусских, Под Звездопадом","24, DEAD BLONDE, Бесприданница","24, MORGENSHTERN, SHOW"
24,"25, Måneskin, I WANNA BE YOUR SLAVE","25, Dabro, На часах ноль-ноль","25, Måneskin, I WANNA BE YOUR SLAVE","25, Måneskin, I WANNA BE YOUR SLAVE","25, Måneskin, I WANNA BE YOUR SLAVE","25, Просто Вопрос, Я даю тебе любовь","25, Просто Вопрос, Я даю тебе любовь","25, Просто Вопрос, Я даю тебе любовь","25, DEAD BLONDE, Бесприданница"
25,"26, MAYOT, Снег","26, Måneskin, I WANNA BE YOUR SLAVE","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, Тима Белорусских, Под Звездопадом","26, Galibri & Mavik, Федерико Феллини","26, Galibri & Mavik, Федерико Феллини","26, Galibri & Mavik, Федерико Феллини"
26,"27, Artik & Asti, Истеричка","27, MAYOT, Снег","27, Dabro, На часах ноль-ноль","27, Dabro, На часах ноль-ноль","27, Dabro, На часах ноль-ноль","27, Måneskin, I WANNA BE YOUR SLAVE","27, Dabro, На часах ноль-ноль","27, Dabro, На часах ноль-ноль","27, Måneskin, I WANNA BE YOUR SLAVE"
27,"28, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","28, Artik & Asti, Истеричка","28, MAYOT, Снег","28, MAYOT, Снег","28, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","28, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","28, Måneskin, I WANNA BE YOUR SLAVE","28, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","28, Dabro, На часах ноль-ноль"
28,"29, NLO, Не грусти","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MAYOT, Снег","29, Dabro, На часах ноль-ноль","29, The Limba, Скриптонит, Ронин","29, Måneskin, I WANNA BE YOUR SLAVE","29, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck"
